"author_name","Period_3_2021_2025","Period_1_2012_2016","Period_2_2016_2021","total_commits"
"tritu",1,0,10,11
"wzxjohn",0,10,1,11
"8DxFPT",0,0,10,10
"Anonymous-Someneese",0,0,10,10
"Chen Shaoju",1,4,5,10
"Daniel",0,0,10,10
"FDUZS",10,0,0,10
"Meow",10,0,0,10
"Noisyfox",0,1,9,10
"Parasomnia",1,0,9,10
"Pavel-Boyazov",10,0,0,10
"Rayson Zhu",0,0,10,10
"V2Ray Dev",0,10,0,10
"ayanamist",1,7,2,10
"fengguowudi",10,0,0,10
"hanazaki05",0,0,10,10
"ideal",0,0,10,10
"kallydev",2,0,8,10
"kovacs",10,0,0,10
"tooadstool",10,0,0,10
"whyou",0,0,10,10
"xkww3n",10,0,0,10
"Ali",9,0,0,9
"JimmyHuang454",9,0,0,9
"Junjie Yuan",0,0,9,9
"LNDDYL",0,2,7,9
"Linus Färnstrand",0,0,9,9
"Lucas Liu",0,9,0,9
"Rainux Luo",0,0,9,9
"Sah",0,1,8,9
"ajiou",0,0,9,9
"alireza x5",9,0,0,9
"dlccontributor",0,0,9,9
"ghost",0,0,9,9
"imnotpopo",0,0,9,9
"lifetyper",9,0,0,9
"lucifer",0,0,9,9
"mzz2017",1,0,8,9
"startgenshin",9,0,0,9
"Arthur Lee",0,0,8,8
"HKLCF",0,0,8,8
"JimmyHuang",8,0,0,8
"Lake Chan",8,0,0,8
"Long March 5",7,0,1,8
"Meitian Huang",0,7,1,8
"VXTLS",8,0,0,8
"Vladimir Olteanu",0,0,8,8
"Ye Zhihao",4,0,4,8
"boypt",0,0,8,8
"chentao",0,8,0,8
"demarcush",8,0,0,8
"ingria",8,0,0,8
"keepalivesrc",0,0,8,8
"lrinQVQ",0,0,8,8
"mashiro-best",0,0,8,8
"mengskysama",0,8,0,8
"pexcn",0,0,8,8
"t123yh",0,0,8,8
"wuxiangzhou2010",0,0,8,8
"xiagw",0,0,8,8
"Arthur-Lee",0,0,7,7
"Chinsyo",0,0,7,7
"DY",7,0,0,7
"Damir Ainullin",0,0,7,7
"Huang-Huang Bao",6,0,1,7
"Isaac Nickaein",7,0,0,7
"StudentEx",0,0,7,7
"Vicent Tsai",0,0,7,7
"Vinna",0,7,0,7
"Y0ba",7,0,0,7
"Yale Woo",0,0,7,7
"comwrg",0,0,7,7
"eric",0,0,7,7
"iseki",2,0,5,7
"onlymash",0,0,7,7
"randomghast",7,0,0,7
"root",0,2,5,7
"rurirei",4,0,3,7
"yk271",7,0,0,7
"крысавдоме",7,0,0,7
"タイムライン",7,0,0,7
"秦宇航",0,0,7,7
"Agioi Theodoroi",0,0,6,6
"COCO",0,0,6,6
"CalmLong",0,0,6,6
"Daneel Olivaw",0,0,6,6
"Eleven Lee",6,0,0,6
"Glucy2",6,0,0,6
"Keikhosrow HN",6,0,0,6
"Ken",0,0,6,6
"KevinZonda",0,0,6,6
"Nakorn",6,0,0,6
"PragmaTwice",0,0,6,6
"Raif Atef",0,0,6,6
"SAPikachu",0,0,6,6
"Scott",0,0,6,6
"TheWanderingCoel",0,0,6,6
"TiTAN-mu",6,0,0,6
"User53464563",6,0,0,6
"ValdikSS",6,0,0,6
"Valture",0,0,6,6
"Whalko",5,0,1,6
"XGFan",6,0,0,6
"Yifei0727",0,0,6,6
"Yuxiang Zhu",0,0,6,6
"adoot",0,6,0,6
"cancanneednews",6,0,0,6
"edsgerlin",0,0,6,6
"him007",6,0,0,6
"kkocdko",6,0,0,6
"maskedeken",0,0,6,6
"mayampi01",6,0,0,6
"mubiale",0,0,6,6
"tnextday",0,0,6,6
"tzwjkl",0,0,6,6
"wuxiang",0,0,6,6
"竹林里有冰",6,0,0,6
"Alex",4,0,1,5
"Blaok",0,5,0,5
"ChienLo",5,0,0,5
"CicoZhang",0,0,5,5
"David Lönnhager",5,0,0,5
"Gilles Depeyrot",5,0,0,5
"Haoshen Zhong",0,0,5,5
"Haoyu Qiu",0,0,5,5
"Harald Nordgren",0,0,5,5
"HystericalDragon",5,0,0,5
"Leroy.H.Y",0,0,5,5
"MicroXina",5,0,0,5
"MuenYu",0,0,5,5
"RnEric",5,0,0,5
"Teddysun",0,0,5,5
"Tian Yunhao",0,0,5,5
"Xiandong",0,0,5,5
"Yifu Yu",0,4,1,5
"ahmadali shafiee",0,0,5,5
"anonymous-contributor",0,2,3,5
"astrataro",0,0,5,5
"everyx",0,5,0,5
"glyme",0,5,0,5
"hfung",0,0,5,5
"hwchan",0,0,5,5
"lucus lee",0,0,5,5
"rand0mgh0st",5,0,0,5
"rp-hello",5,0,0,5
"simplerick-simplefun",5,0,0,5
"sxyoxygen",0,0,5,5
"unknown",5,0,0,5
"vndroid",5,0,0,5
"wzhy90",0,5,0,5
"xfun0",5,0,0,5
"yjd",0,3,2,5
"zfl9",0,0,5,5
"秋野かえで",5,0,0,5
"Allo",4,0,0,4
"Burgess-T",4,0,0,4
"Charles",0,4,0,4
"Chien Lo",4,0,0,4
"Ciel Zhao",0,0,4,4
"CloseHandle",4,0,0,4
"Cwek",1,0,3,4
"DarthVader",0,0,4,4
"Deng Yang",4,0,0,4
"Di Weng",0,0,4,4
"Divenire",1,0,3,4
"Freeman",0,0,4,4
"GEM7",0,0,4,4
"Gong Zhang",0,0,4,4
"Hanwei Jin",4,0,0,4
"Hardrain980",0,0,4,4
"HeyBroWhatsUp",4,0,0,4
"Igor Fedorov",4,0,0,4
"Iskander Sharipov",0,0,4,4
"JWwz3d",4,0,0,4
"Jia",0,0,4,4
"Julien Schmidt",0,0,4,4
"Kevin2Law",0,0,4,4
"KingsFourze",4,0,0,4
"Kiri",0,0,4,4
"KrazyIvan",0,4,0,4
"LunarShaddow",0,0,4,4
"Misaki Kasumi",4,0,0,4
"MoetaYuko",4,0,0,4
"Nobel",0,0,4,4
"Not Sure",0,0,4,4
"Paizhuo.Chen",0,0,4,4
"Qv2ray Bot",0,0,4,4
"QwQ",0,0,4,4
"Rio",0,0,4,4
"RiverMud",4,0,0,4
"Simon Schürrle",0,0,4,4
"StarryVoid",0,0,4,4
"Vixb",0,0,4,4
"Wasteland Ranger",4,0,0,4
"Xeon Xu",0,4,0,4
"Yazhong Liu",0,4,0,4
"YuSaki丶Kanade",4,0,0,4
"ZQ.Rui",0,0,4,4
"Zhaofeng Li",0,4,0,4
"anonymous",0,0,4,4
"banricho",0,0,4,4
"bososha",0,0,4,4
"charles",4,0,0,4
"crvv",0,4,0,4
"defia",0,4,0,4
"dylanchu",0,0,4,4
"fcying",0,0,4,4
